# www.neaspec.com
# Scan:	 	Approach Curve
# Project:	 	20251007_PS
# Description:	 	
# Date:	 	10/07/2025 16:12:18
# Scanner Center Position (X, Y):	[µm]	49.66	48.17	 
# Rotation:	[°]	0	 	 
# Scan Area (X, Y, Z):	[µm]	0.000	0.000	0.200
# Pixel Area (X, Y, Z):	[px]	1	1	200
# Averaging:	 	1	 	 
# Integration time:	[ms]	50	 	 
# Laser Source:	 	4.5-15 µm nano-FTIR laser
# Detector:	 	R
# Target Wavelength:	[µm]	7.502	 	 
# Demodulation Mode:	 	Fourier
# Tip Frequency:	[Hz]	238,800.109	 	 
# Tip Amplitude:	[mV]	13.000	 	 
# Tapping Amplitude:	[nm]	72.109	 	 
# Modulation Frequency:	[Hz]	0.000	 	 
# Modulation Amplitude:	[mV]	0.000	 	 
# Modulation Offset:	[mV]	0.000	 	 
# Setpoint:	[%]	79.75	 	 
# Regulator (P, I, D):	 	4.206850	8.625812	1.000000
# Tip Potential:	[mV]	0.000	 	 
# M1A Scaling:	[nm/V]	0.426	 	 
# M1A Cantilever Factor:	 	1,000	 	 
# Q-Factor:	 	452.3	 	 
# Version:	 	2.1.11536.0
Row	Column	Run	Depth	Z	M0A	M0P	M1A	M1P	M2A	M2P	M3A	M3P	M4A	M4P	M5A	M5P	O0A	O0P	O1A	O1P	O2A	O2P	O3A	O3P	O4A	O4P	O5A	O5P	
0	0	0	36	8.2442915E-07	196.3883	0	81.54634	1.8523254	0.40276697	-0.5447329	0.24845253	-2.4053013	0.0018298513	-0.869539	0.00025280102	-1.0272974	89.84346	0	12.943377	2.83732	2.4984539	-0.5902909	0.29695785	2.4102483	0.041355737	-1.1501057	0.0001884078	1.0728846	
0	0	0	37	8.2543414E-07	196.37769	0	81.53723	1.8519088	0.40410516	-0.5427134	0.24966845	-2.4148586	0.003178813	-0.6988447	0.00019684937	-1.6517762	89.08953	0	12.728634	2.8383627	2.4134638	-0.575479	0.24913272	2.3039355	0.06882082	-1.0028065	0.00018569558	-1.3809903	
0	0	0	38	8.2643095E-07	196.38695	0	81.55419	1.8521557	0.40298697	-0.5405021	0.24992895	-2.40974	0.0010022835	-0.10862771	0.00029693244	-0.4435919	89.510735	0	12.553171	2.8385582	2.377394	-0.5852201	0.25558192	2.2761798	0.060161453	-0.7653445	0.00013209914	-0.6012084	
0	0	0	39	8.274442E-07	196.36234	0	81.50125	1.8568255	0.40293586	-0.53102	0.25063553	-2.3957312	0.0012655753	0.8715343	0.00032579878	-2.5803635	88.92836	0	12.303361	2.835009	2.417708	-0.6095301	0.2698487	2.3135366	0.07247421	-0.6924709	0.00025945934	1.4812629	
0	0	0	40	8.2844923E-07	196.33693	0	81.524254	1.8564444	0.40276778	-0.5354502	0.24955843	-2.4067388	0.0013963738	-1.1326734	0.00013317703	1.5076401	89.29716	0	12.123853	2.8350937	2.334731	-0.58140004	0.2728419	2.4386754	0.041450057	-0.97230524	0.00021467765	-1.7154113	
0	0	0	41	8.294542E-07	196.28986	0	81.52129	1.8549505	0.4028771	-0.5372286	0.2488377	-2.4107513	0.0014496841	0.29642433	0.00038606313	2.2463117	88.945694	0	11.998529	2.8408751	2.2627747	-0.5785862	0.22908288	2.4498482	0.032945726	-0.73626536	0.0003020702	2.1385727	
0	0	0	42	8.3045927E-07	196.30945	0	81.4862	1.8545811	0.40113127	-0.54067814	0.25149402	-2.407815	0.0017107633	-0.4142638	0.00011007366	-2.5295074	89.577805	0	11.750196	2.8326316	2.2539384	-0.58374965	0.2192283	2.2140155	0.060528774	-0.98284626	0.00013844672	-0.90910274	
0	0	0	43	8.314561E-07	196.2676	0	81.45677	1.8542362	0.40211952	-0.53759825	0.24786925	-2.4067962	0.00049050164	-0.6220232	0.00011816746	1.8578055	89.94372	0	11.529674	2.838733	2.2569697	-0.57764757	0.21800406	2.1719234	0.030189924	-1.1482749	0.00015972213	-1.8526498	
0	0	0	44	8.3246937E-07	196.27374	0	81.51648	1.8548485	0.40238768	-0.533124	0.24946749	-2.4084353	0.0013699834	-0.6391698	0.0003036674	2.6548877	90.18218	0	11.387093	2.8359046	2.1946015	-0.57513416	0.22189458	2.275919	0.023458613	-1.035146	0.00021036243	1.1105207	
0	0	0	45	8.334744E-07	196.2793	0	81.50899	1.8557342	0.40365264	-0.535997	0.24878457	-2.4046164	0.0015523247	-1.4607252	0.00010570497	1.2335167	90.42373	0	11.156598	2.8393435	2.1699653	-0.57541734	0.22074041	2.292545	0.013570603	1.1795802	0.00027634445	-2.6636996	
0	0	0	46	8.344794E-07	196.26486	0	81.5477	1.8508316	0.40164924	-0.54634756	0.24836765	-2.417874	0.001311495	-0.8289928	0.00018804926	-2.8278608	90.817444	0	11.050981	2.8403132	2.1537423	-0.5879946	0.16876373	2.4083464	0.021115214	-0.71525	0.0002236982	0.93480384	
0	0	0	47	8.3547616E-07	196.26062	0	81.53543	1.8532246	0.40254408	-0.54247767	0.2495969	-2.4139867	0.00061638193	0.69143236	0.00011308855	-0.40545425	91.94259	0	10.801964	2.8354163	2.1059413	-0.58317393	0.1843688	2.4094443	0.031901117	-2.0717974	0.00032616637	-0.6950631	
0	0	0	48	8.3648945E-07	196.2575	0	81.487434	1.8559746	0.40045777	-0.5324174	0.24897514	-2.4017992	0.0018405735	0.17675094	0.00017023759	1.5216652	91.608116	0	10.668122	2.8322608	2.0999808	-0.57698125	0.20508744	2.400484	0.022853049	-2.2357361	0.00033713304	2.4657059	
0	0	0	49	8.374945E-07	196.2222	0	81.45105	1.8559477	0.4016323	-0.53765035	0.25060192	-2.4152906	0.003333646	-0.560677	6.534995E-05	-1.8230298	91.46243	0	10.471136	2.830783	2.0560224	-0.5774277	0.19180551	2.2150345	0.05218569	-1.7946223	0.0003050623	-2.0959451	
0	0	0	50	8.384995E-07	196.18558	0	81.509796	1.8539642	0.4040901	-0.5454985	0.24980287	-2.4092693	0.0020492054	-0.013929279	0.00017667793	2.2043734	92.06639	0	10.280834	2.8394608	2.0064464	-0.58724463	0.1671344	2.2510867	0.029046291	-1.5001796	0.00015049489	-1.4311166	
0	0	0	51	8.394963E-07	196.1888	0	81.46687	1.855034	0.40070343	-0.5350447	0.24679887	-2.4077976	0.0014008767	-0.7069795	0.00041427568	1.7842989	92.04628	0	10.148299	2.8358579	2.0100193	-0.59138644	0.16284992	2.4636776	0.01093191	-1.5479316	0.00049767806	-1.3298813	
0	0	0	52	8.4050953E-07	196.17545	0	81.54928	1.8528486	0.40293685	-0.5435948	0.2485881	-2.4040642	0.002410261	-0.4965478	0.00022234136	-0.49844474	92.464035	0	9.993396	2.8371532	1.9455403	-0.58930606	0.20163918	2.283905	0.025659198	-0.034610644	0.00020426082	1.7418678	
0	0	0	53	8.415146E-07	196.15369	0	81.476585	1.8546461	0.3998312	-0.5352567	0.25012308	-2.4006877	0.001685826	-0.9104477	0.00020607018	-1.2962484	92.33975	0	9.806641	2.8354142	1.9548858	-0.5864085	0.14995292	2.3545089	0.048419118	-0.95863855	0.00019089293	-0.40193346	
0	0	0	54	8.4251957E-07	196.13171	0	81.44519	1.8542953	0.4008	-0.5373428	0.24827647	-2.40949	0.0026186856	-1.2513016	0.0002792704	-2.9745812	92.62488	0	9.586935	2.8396714	1.9426025	-0.57185566	0.15648419	2.3244617	0.010599629	-0.8274865	0.00024877486	-0.72744423	
