# www.neaspec.com
# Scan:	 	Fourier Scan
# Project:	 	20251007_PS
# Description:	 	
# Date:	 	10/07/2025 11:05:45
# Reference:	 	10/07/2025 11:05:45 
# Scanner Center Position (X, Y):	[µm]	51.69	50.15	 
# Rotation:	[°]	0	 	 
# Scan Area (X, Y, Z):	[µm]	0.000	0.000	0.000
# Pixel Area (X, Y, Z):	[px]	1	1	2048
# Interferometer Center/Distance:	[µm]	400.000	600.000	 
# Averaging:	 	12	 	 
# Integration time:	[ms]	10	 	 
# Wavenumber Scaling:	 	1.000000	 	 
# Laser Source:	 	4.5-15 µm nano-FTIR laser
# Detector:	 	R
# Target Wavelength:	[µm]	7.502	 	 
# Demodulation Mode:	 	Fourier
# Tip Frequency:	[Hz]	241,340.500	 	 
# Tip Amplitude:	[mV]	45.700	 	 
# Tapping Amplitude:	[nm]	78.823	 	 
# Modulation Frequency:	[Hz]	0.000	 	 
# Modulation Amplitude:	[mV]	0.000	 	 
# Modulation Offset:	[mV]	0.000	 	 
# Setpoint:	[%]	79.75	 	 
# Regulator (P, I, D):	 	4.206850	8.625812	1.000000
# Tip Potential:	[mV]	0.000	 	 
# M1A Scaling:	[nm/V]	0.426	 	 
# M1A Cantilever Factor:	 	1,000	 	 
# Q-Factor:	 	487.4	 	 
# Version:	 	2.1.11536.0
Row	Column	Omega	Wavenumber	O0A	O0P	O1A	O1P	O2A	O2P	O3A	O3P	O4A	O4P	O5A	O5P	
0	0	133	277.0833333333333	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	134	279.1666666666667	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	135	281.25	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	136	283.3333333333333	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	137	285.4166666666667	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	138	287.5	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	139	289.5833333333333	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	140	291.6666666666667	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	141	293.75	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	142	295.8333333333333	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	143	297.9166666666667	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	144	300	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	145	302.0833333333333	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	146	304.1666666666667	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	147	306.25	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	148	308.3333333333333	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	149	310.4166666666667	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	150	312.5	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	151	314.5833333333333	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	152	316.6666666666667	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	153	318.75	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	154	320.8333333333333	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	155	322.9166666666667	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	156	325	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	157	327.0833333333333	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	158	329.1666666666667	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	159	331.25	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	160	333.3333333333333	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	161	335.4166666666667	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	162	337.5	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	163	339.5833333333333	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	164	341.6666666666667	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	165	343.75	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	166	345.8333333333333	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	167	347.9166666666667	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	168	350	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	169	352.0833333333333	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	170	354.1666666666667	0	0	0	0	0	0	0	0	1	6.384328E-10	0	0	
0	0	171	356.25	0	0	0	0	0	0	0	0	0.99999994	6.7702923E-09	0	0	
0	0	172	358.3333333333333	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	173	360.4166666666667	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	174	362.5	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	175	364.5833333333333	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	176	366.6666666666667	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	177	368.75	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	178	370.8333333333333	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	179	372.9166666666667	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	180	375	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	181	377.0833333333333	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	182	379.1666666666667	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	183	381.25	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	184	383.3333333333333	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	185	385.4166666666667	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	186	387.5	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	187	389.5833333333333	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	188	391.6666666666667	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	189	393.75	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	190	395.8333333333333	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	191	397.9166666666667	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	192	400	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	193	402.0833333333333	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	194	404.1666666666667	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	195	406.25	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	196	408.3333333333333	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	197	410.4166666666667	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	198	412.5	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	199	414.5833333333333	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	200	416.6666666666667	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	201	418.75	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	202	420.8333333333333	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	203	422.9166666666667	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	204	425	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	205	427.0833333333333	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	206	429.1666666666667	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	207	431.25	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	208	433.3333333333333	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	209	435.4166666666667	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	210	437.5	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	211	439.5833333333333	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	212	441.6666666666667	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	213	443.75	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	214	445.8333333333333	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	215	447.9166666666667	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	216	450	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	217	452.0833333333333	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	218	454.1666666666667	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	219	456.25	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	220	458.3333333333333	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	221	460.4166666666667	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	222	462.5	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	223	464.5833333333333	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	224	466.6666666666667	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	225	468.75	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	226	470.8333333333333	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	227	472.9166666666667	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	228	475	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	229	477.0833333333333	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	230	479.1666666666667	0	0	0	0	0	0	0	0	0	0	0	0	
